,src,dst,time,ext_roll
6970,10,21,1057,0
6971,14,3,1057,0
6972,14,11,1057,0
6973,14,13,1057,0
6974,14,17,1057,0
6975,14,21,1057,0
6976,15,3,1057,0
6977,15,11,1057,0
6978,15,13,1057,0
6979,15,17,1057,0
6980,15,21,1057,0
6981,16,3,1057,0
6982,16,11,1057,0
6983,16,13,1057,0
6984,16,17,1057,0
6985,16,21,1057,0
6986,3,14,1058,0
6987,11,14,1058,0
6988,13,14,1058,0
6989,17,14,1058,0
6990,21,14,1058,0
6991,28,14,1062,0
6992,28,17,1062,0
6993,10,14,1062,0
6994,10,17,1062,0
6995,11,14,1062,0
6996,11,17,1062,0
6997,14,6,1063,0
6998,17,6,1063,0
6999,6,3,1064,0
7000,6,5,1064,0
7001,6,11,1064,0
7002,6,14,1064,0
7003,6,17,1064,0
7004,6,18,1064,0
7005,6,20,1064,0
7006,6,21,1064,0
7007,3,2,1065,0
7008,3,4,1065,0
7009,3,6,1065,0
7010,3,8,1065,0
7011,3,11,1065,0
7012,3,14,1065,0
7013,3,18,1065,0
7014,3,21,1065,0
7015,5,2,1065,0
7016,5,3,1065,0
7017,5,4,1065,0
7018,5,6,1065,0
7019,5,8,1065,0
7020,5,11,1065,0
7021,5,14,1065,0
7022,5,18,1065,0
7023,5,21,1065,0
7024,6,2,1065,0
7025,6,3,1065,0
7026,6,4,1065,0
7027,6,8,1065,0
7028,6,11,1065,0
7029,6,14,1065,0
7030,6,18,1065,0
7031,6,21,1065,0
7032,11,2,1065,0
7033,11,3,1065,0
7034,11,4,1065,0
7035,11,6,1065,0
7036,11,8,1065,0
7037,11,14,1065,0
7038,11,18,1065,0
7039,11,21,1065,0
7040,14,2,1065,0
7041,14,3,1065,0
7042,14,4,1065,0
7043,14,6,1065,0
7044,14,8,1065,0
7045,14,11,1065,0
7046,14,18,1065,0
7047,14,21,1065,0
7048,17,2,1065,0
7049,17,3,1065,0
7050,17,4,1065,0
7051,17,6,1065,0
